NOTE,DOMAIN,PAGE,ID,NATURAL,ITA,SPA,CAT,POR
,2,Tournament page,1,Tournaments,Tornei,,,
,2,,2,Here you will see the tournaments you can sign up for.,Qui verranno visualizzati i tornei a cui potrai iscriverti.,,,
,2,,3,Pick your team and get ready to prove yourself!,Scegli la tua squadra e tieniti pronto a dimostrare quanto vali!,,,
,2,,4,Available tournaments,Tornei disponibili,,,
,2,,5,Enter the email address of the university to verify your team membership.,Inserisci l'indirizzo email dell'università per verificare l'appartenenza alla squadra.,,,
,2,,6,University email,Email universitaria,,,
,2,,7,"Email verified, welcome to the team!","Indirizzo valido, benvenuto in squadra!",,,
,2,,8,Invalid address. Please enter a correct email address.,Indirizzo non valido. Inserisci un'email corretta per favore.,,,
,2,,9,You are now officially part of the team. Prove us what you can do!,Da questo momento sei ufficialmente in squadra. Dimostraci quello che sai fare!,,,
,2,,10,"Okay, let's start!","Ok, iniziamo!",,,
,2,,11,"Check the countdown and get ready, the tournament will start soon.","Tieni d'occhio il countdown e stai pronto, il torneo inizierà a breve.",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,We will soon launch the first team tournament within the ENI community. Stay tuned!,Presto lanceremo il primo torneo a squadre all'interno della comunità ENI. Stay tuned!,,,
,,,,Get familiar with MUV: travel your home-work routes in a sustainable way and take part in challenges to win prizes.,Inizia a prendere confidenza con MUV: percorri le tue tratte casa-lavoro in modo sostenibile e partecipa alle sfide per vincere i premi in palio.,,,